"","Additional Resources","All taxonomy terms","Announcement","Audience","Author","Author / Institution","Body","Body","Body","byline","Climate Topics","Date of Issue","Description","Duration ","Expert Personal Site","Expert/s","Explore/Interactive Image","Header Title","Key Personnel","Learn More Link","Link","Organization Name","Other Expert","Polar Topics","Post date","Primary Image","Project Image","Project Landing Page Image","Project Lead","Project URL","Resource Link","Resource Type","Tagline","Tags","Title","Type"
"Yearly Changes in Sea Ice @ Poles","","High School, College, Arctic, Video/Visualization, Data, Sea Ice","","High School, College","","Windows to the Universe","This website shows a data visualization, from the NSIDC, of annual sea ice changes in the Arctic and Antarctic regions.It includes seasonal and monthly comparison as well as  future projections of sea ice change.
","This website shows a data visualization, from the NSIDC, of annual sea ice changes in the Arctic and Antarctic regions.It includes seasonal and monthly comparison as well as  future projections of sea ice change.
","This website shows a data visualization, from the NSIDC, of annual sea ice changes in the Arctic and Antarctic regions.It includes seasonal and monthly comparison as well as  future projections of sea ice change.
","","","","","","","","","","","","view","","","Arctic, Sea Ice","August 8, 2014 - 2:49pm","","","","","","http://www.windows2universe.org/earth/polar/sea_ice/sea_ice_north_animate.html","Video/Visualization, Data","","","Yearly Changes in Sea Ice @ Poles","Resource"
"A Very Simple Climate Model ","","High School, Climate System, College, Causes of Climate Change, Online Interactive Tool, Impacts of Climate Change","","High School, College","","Windows2universe","This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)
","This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)
","This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)This online interactive tool is a basic climate model where the user can add CO2 to see impacts to the average global temperature base on CO2 emissions. (2008)
","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://www.windows2universe.org/earth/climate/cli_model.html","Online Interactive Tool","","","A Very Simple Climate Model ","Resource"
"Business & Climate Change ","","Graduate/Professional, Mitigation, Adaptation, Website","","Graduate/Professional","","GEMI","Designed as company self-improvement tools there are a series of modules on topics of how to improve the work operations etc. Case studies and resources are listed to assist the users.;Decision making that reduces climate impact including use of solar, wind, biomass, LEED certification etc.;The Global Environmental Management Initiative (GEMI) is a non-profit organization made up of leading companies dedicated to foster global environmental, health and safety (EHS) excellence through the sharing of tools and information to help business achieve EHS excellence.
","Designed as company self-improvement tools there are a series of modules on topics of how to improve the work operations etc. Case studies and resources are listed to assist the users.;Decision making that reduces climate impact including use of solar, wind, biomass, LEED certification etc.;The Global Environmental Management Initiative (GEMI) is a non-profit organization made up of leading companies dedicated to foster global environmental, health and safety (EHS) excellence through the sharing of tools and information to help business achieve EHS excellence.
","Designed as company self-improvement tools there are a series of modules on topics of how to improve the work operations etc. Case studies and resources are listed to assist the users.;Decision making that reduces climate impact including use of solar, wind, biomass, LEED certification etc.;The Global Environmental Management Initiative (GEMI) is a non-profit organization made up of leading companies dedicated to foster global environmental, health and safety (EHS) excellence through the sharing of tools and information to help business achieve EHS excellence.
","","Mitigation, Adaptation","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://www.gemi.org/businessandclimate/GCC.aspx?niid=3","Website","","","Business & Climate Change ","Resource"
"C-Learn Climate Simulation","","Digital game/Simulation, High School, College, Causes of Climate Change, Online Interactive Tool, Impacts of Climate Change","","High School, College","","Climate interactive","The simulation is specifically designed for climate communicators, educators, and leaders of the World Climate Exercise, but people coming from a wide array of backgrounds will find it insightful. C-Learn can help people understand the long-term climate effects (CO2 concentrations, global temperature, sea level rise) of various actions to change CO2 emissions, like those from fossil fuels, deforestation, and planting trees. You can ask multiple, customized ""what if"" questions and understand why the system reacts as it does. Users can access as guest or free user registration (2013)
","The simulation is specifically designed for climate communicators, educators, and leaders of the World Climate Exercise, but people coming from a wide array of backgrounds will find it insightful. C-Learn can help people understand the long-term climate effects (CO2 concentrations, global temperature, sea level rise) of various actions to change CO2 emissions, like those from fossil fuels, deforestation, and planting trees. You can ask multiple, customized ""what if"" questions and understand why the system reacts as it does. Users can access as guest or free user registration (2013)
","The simulation is specifically designed for climate communicators, educators, and leaders of the World Climate Exercise, but people coming from a wide array of backgrounds will find it insightful. C-Learn can help people understand the long-term climate effects (CO2 concentrations, global temperature, sea level rise) of various actions to change CO2 emissions, like those from fossil fuels, deforestation, and planting trees. You can ask multiple, customized ""what if"" questions and understand why the system reacts as it does. Users can access as guest or free user registration (2013)
","","Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://climateinteractive.org/simulations/c-learn/simulation","Digital game/Simulation, Online Interactive Tool","","","C-Learn Climate Simulation","Resource"
"C-Roads (Climate Rapid Overview and Decision Support) Climate Interactive ","","Digital game/Simulation, Causes of Climate Change, Graduate/Professional, Impacts of Climate Change, Mitigation","","Graduate/Professional",""," Ventana Systems, and MIT developed “C-ROADS”","C-ROADS is an award-winning computer simulation that helps people understand the long-term climate impacts of policy scenarios to reduce greenhouse gas emissions. It allows for the rapid summation of national greenhouse gas reduction pledges in order to show the long-term impact on our climate. requires registration/request for free download(2013)
","C-ROADS is an award-winning computer simulation that helps people understand the long-term climate impacts of policy scenarios to reduce greenhouse gas emissions. It allows for the rapid summation of national greenhouse gas reduction pledges in order to show the long-term impact on our climate. requires registration/request for free download(2013)
","C-ROADS is an award-winning computer simulation that helps people understand the long-term climate impacts of policy scenarios to reduce greenhouse gas emissions. It allows for the rapid summation of national greenhouse gas reduction pledges in order to show the long-term impact on our climate. requires registration/request for free download(2013)
","","Causes of Climate Change, Impacts of Climate Change, Mitigation","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://climateinteractive.org/simulations/C-ROADS/overview","Digital game/Simulation","","","C-Roads (Climate Rapid Overview and Decision Support) Climate Interactive ","Resource"
"Carbon Cycle Game ","","Digital game/Simulation, High School, Causes of Climate Change, Online Interactive Tool, Curriculum","","High School","","Windows2universe","Through an online game, students learn how carbon cycles through the Earth system. Students understand that carbon cycles naturally through living and non-living parts of the Earth system in a complex and non-linear way. Students will also understand that burning fossil fuels adds carbon to the cycle and the impact of additional carbon dioxide on global warming. Students also learn that carbon is essential for living things.(2006)
","Through an online game, students learn how carbon cycles through the Earth system. Students understand that carbon cycles naturally through living and non-living parts of the Earth system in a complex and non-linear way. Students will also understand that burning fossil fuels adds carbon to the cycle and the impact of additional carbon dioxide on global warming. Students also learn that carbon is essential for living things.(2006)
","Through an online game, students learn how carbon cycles through the Earth system. Students understand that carbon cycles naturally through living and non-living parts of the Earth system in a complex and non-linear way. Students will also understand that burning fossil fuels adds carbon to the cycle and the impact of additional carbon dioxide on global warming. Students also learn that carbon is essential for living things.(2006)
","","Causes of Climate Change","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://www.windows2universe.org/teacher_resources/teach_carbongame.html","Digital game/Simulation, Online Interactive Tool, Curriculum","","","Carbon Cycle Game ","Resource"
"CEO2 ","","Digital game/Simulation, High School, College, Graduate/Professional, Impacts of Climate Change, General, Mitigation","","High School, College, Graduate/Professional, General","","WWF Allianz","CEO2 is a game that puts players in the role of a CEO in one of four major industries from 2010-2030. Climate Change is the biggest threat facing nature and humanity in the 21st century.  CEO2 was designed to raise awareness about the need for business leaders to balance their concerns for profit and climate change, and the options available to them.  The options in this game, the figures associated with them, the future scenarios, and the stakeholder opinions were developed based on feedback from experts.  They are simplified and approximated for the purpose of game play, and may not always closely reflect current or future realities in these industries.
","CEO2 is a game that puts players in the role of a CEO in one of four major industries from 2010-2030. Climate Change is the biggest threat facing nature and humanity in the 21st century.  CEO2 was designed to raise awareness about the need for business leaders to balance their concerns for profit and climate change, and the options available to them.  The options in this game, the figures associated with them, the future scenarios, and the stakeholder opinions were developed based on feedback from experts.  They are simplified and approximated for the purpose of game play, and may not always closely reflect current or future realities in these industries.
","CEO2 is a game that puts players in the role of a CEO in one of four major industries from 2010-2030. Climate Change is the biggest threat facing nature and humanity in the 21st century.  CEO2 was designed to raise awareness about the need for business leaders to balance their concerns for profit and climate change, and the options available to them.  The options in this game, the figures associated with them, the future scenarios, and the stakeholder opinions were developed based on feedback from experts.  They are simplified and approximated for the purpose of game play, and may not always closely reflect current or future realities in these industries.
","","Impacts of Climate Change, Mitigation","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://knowledge.allianz.com/ceo2/en.html","Digital game/Simulation","","","CEO2 ","Resource"
"Climate Challenge (BBC) ","","Digital game/Simulation, Causes of Climate Change, Impacts of Climate Change, General, Mitigation, Adaptation, Family","","General, Family","","Red Redemptions Games -  British Company","This is a game available for free dowload.  Players must respond to catastrophic events caused by climate change as well as natural and manmade events, which may or may not be linked to climate change. This aspect of the game is meant to give some idea of what could happen as the Earth's climate changes and also introduce the unpredictable nature of some natural events.  This is a single player strategy game  where you are president of the European Nations & must tackle climate change and stay popular enough to remain in office.(2006)
","This is a game available for free dowload.  Players must respond to catastrophic events caused by climate change as well as natural and manmade events, which may or may not be linked to climate change. This aspect of the game is meant to give some idea of what could happen as the Earth's climate changes and also introduce the unpredictable nature of some natural events.  This is a single player strategy game  where you are president of the European Nations & must tackle climate change and stay popular enough to remain in office.(2006)
","This is a game available for free dowload.  Players must respond to catastrophic events caused by climate change as well as natural and manmade events, which may or may not be linked to climate change. This aspect of the game is meant to give some idea of what could happen as the Earth's climate changes and also introduce the unpredictable nature of some natural events.  This is a single player strategy game  where you are president of the European Nations & must tackle climate change and stay popular enough to remain in office.(2006)
","","Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://www.bbc.co.uk/sn/hottopics/climatechange/climate_challenge/","Digital game/Simulation","","","Climate Challenge (BBC) ","Resource"
"Landsat Image Mosaic of Antarctica: NASA site","","High School, College, Antarctic, Online Interactive Tool, Impacts of Climate Change, General, Video/Visualization, Glaciers/Land Ice, Images, Website, Sea Level Rise","","High School, College, General","","NASA","The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.
","The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.
","The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.The Landsat Image Mosaic of Antarctica (LIMA) is the first-ever true-color high-resolution satellite view of the Antarctic continent enabling everyone to see Antarctica as it appears in real life. The primary purpose of this site is to provide materials that will allow for both students and educators to explore the continent through the ""Antarctic Mysteries"" section.
This web site is designed as part of the International Polar Year to familiarize people with Antarctica, to explore the richness of its features, to learn about why Antarctica matters to us all, and to explain and demonstrate how scientists use satellite imagery to study the continent.
","","Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Glaciers/Land Ice, Sea Level Rise","August 8, 2014 - 2:49pm","","","","","","http://lima.nasa.gov/","Online Interactive Tool, Video/Visualization, Images, Website","","","Landsat Image Mosaic of Antarctica: NASA site","Resource"
"NSIDC Data on Virtual Globes: Google Earth ","","High School, College, Antarctic, Online Interactive Tool, Arctic, Impacts of Climate Change, Research, Glaciers/Land Ice, Images, Data, Permafrost, Sea Ice, Snow, Temperature","","High School, College, Research","","NSIDC","The National Snow and Ice Data Center offers some of our data in the form of images. We have created Google Earth™ files that enable you to overlay the following data-based images on a virtual globe. Our goal is to help people better understand the cryosphere—where the world is frozen—by making our data more visible and interactive.
","The National Snow and Ice Data Center offers some of our data in the form of images. We have created Google Earth™ files that enable you to overlay the following data-based images on a virtual globe. Our goal is to help people better understand the cryosphere—where the world is frozen—by making our data more visible and interactive.
","The National Snow and Ice Data Center offers some of our data in the form of images. We have created Google Earth™ files that enable you to overlay the following data-based images on a virtual globe. Our goal is to help people better understand the cryosphere—where the world is frozen—by making our data more visible and interactive.
","","Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Permafrost, Sea Ice, Snow, Temperature","August 8, 2014 - 2:49pm","","","","","","http://nsidc.org/data/google_earth/","Online Interactive Tool, Images, Data","","","NSIDC Data on Virtual Globes: Google Earth ","Resource"
"Polar Discovery ","","Climate System, Antarctic, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, Community, General, Video/Visualization, Images, Indigenous Perspectives, Website, Marine Ecosystem, Terrestrial Ecosystem","","General","","WHOI","This website contains video, text, and interviews that introduce polar ecosystesms, circulation patterns, geography, exploration etc.  It highlights the unique features of the poles, their differences and their similarities.
","This website contains video, text, and interviews that introduce polar ecosystesms, circulation patterns, geography, exploration etc.  It highlights the unique features of the poles, their differences and their similarities.
","This website contains video, text, and interviews that introduce polar ecosystesms, circulation patterns, geography, exploration etc.  It highlights the unique features of the poles, their differences and their similarities.
","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Community, Indigenous Perspectives, Marine Ecosystem, Terrestrial Ecosystem","August 8, 2014 - 2:49pm","","","","","","http://polardiscovery.whoi.edu/","Online Interactive Tool, Video/Visualization, Images, Website","","","Polar Discovery ","Resource"
"September 2007 Arctic Sea Ice vs 1979-2007 Average with Graph of 1979 to 2008 Ice Areas ","","Arctic, Research, Community, General, Video/Visualization, Images, Indigenous Perspectives, Data, Sea Ice","","Research, General","","NASA Goddard","This website shows data  visualizations, graphs and satellite imagery to compare the difference between the perennial sea ice minimum area on September 14, 2007 and the 1979-2007 average minimum sea ice.
","This website shows data  visualizations, graphs and satellite imagery to compare the difference between the perennial sea ice minimum area on September 14, 2007 and the 1979-2007 average minimum sea ice.
","This website shows data  visualizations, graphs and satellite imagery to compare the difference between the perennial sea ice minimum area on September 14, 2007 and the 1979-2007 average minimum sea ice.
","","","","","","","","","","","","view","","","Arctic, Community, Indigenous Perspectives, Sea Ice","August 8, 2014 - 2:49pm","","","","","","http://svs.gsfc.nasa.gov/vis/a000000/a003500/a003573/index.html","Video/Visualization, Images, Data","","","September 2007 Arctic Sea Ice vs 1979-2007 Average with Graph of 1979 to 2008 Ice Areas ","Resource"
"USGS Educational Resources for IPY 2007-08","","High School, Climate System, College, Antarctic, Arctic, Impacts of Climate Change, Research, Video/Visualization, Glaciers/Land Ice, Images, Website, Marine Ecosystem, Data, Paleoclimate, Permafrost, Sea Ice, Terrestrial Ecosystem, Temperature","","High School, College, Research","","USGS","This website features an archive of USGS educational resources that focus on Alaska and the Arctic, Antarctica, and climate change.  The site offers links to research and monitoring projectes, satellite imagery, maps, and photographs.
","This website features an archive of USGS educational resources that focus on Alaska and the Arctic, Antarctica, and climate change.  The site offers links to research and monitoring projectes, satellite imagery, maps, and photographs.
","This website features an archive of USGS educational resources that focus on Alaska and the Arctic, Antarctica, and climate change.  The site offers links to research and monitoring projectes, satellite imagery, maps, and photographs.
","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Marine Ecosystem, Paleoclimate, Permafrost, Sea Ice, Terrestrial Ecosystem, Temperature","August 8, 2014 - 2:49pm","","","","","","http://international.usgs.gov/ipy/resources/","Video/Visualization, Images, Website, Data","","","USGS Educational Resources for IPY 2007-08","Resource"
"Graphing Sea Ice Extent in the Arctic & Antarctic","","High School, Antarctic, Online Interactive Tool, Arctic, Impacts of Climate Change, Video/Visualization, Curriculum, Data, Sea Ice","","High School","","Randy Russel for Windows to the Universe ","In this classroom curriculum, students graph sea ice extent (area) in both polar regions (Arctic and Antarctic) over a three-year period to learn about seasonal variations and over a 30-year period to learn about longer-term trends.
","In this classroom curriculum, students graph sea ice extent (area) in both polar regions (Arctic and Antarctic) over a three-year period to learn about seasonal variations and over a 30-year period to learn about longer-term trends.
","In this classroom curriculum, students graph sea ice extent (area) in both polar regions (Arctic and Antarctic) over a three-year period to learn about seasonal variations and over a 30-year period to learn about longer-term trends.
","","Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Antarctic, Sea Ice","September 10, 2013 - 2:42pm","","","","","","http://www.windows2universe.org/teacher_resources/graphs/teach_sea_ice_extent.ht...","Online Interactive Tool, Video/Visualization, Curriculum, Data","","","Graphing Sea Ice Extent in the Arctic & Antarctic","Resource"
"Exploring Earth: How Does Land Cover Affect Global Temperature? ","","High School, Albedo, Climate System, Antarctic, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Glaciers/Land Ice, Sea Ice, Temperature","","High School, General","","NSF/TERC/McDougal Littell","An interactive and animated investigation into how land cover affects Earth's temperature, featuring information on albedo, glaciers, and sea ice.
","An interactive and animated investigation into how land cover affects Earth's temperature, featuring information on albedo, glaciers, and sea ice.
","An interactive and animated investigation into how land cover affects Earth's temperature, featuring information on albedo, glaciers, and sea ice.
","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Antarctic, Sea Ice, Glaciers/Land Ice, Albedo, Temperature","September 10, 2013 - 2:42pm","","","","","","http://www.classzone.com/books/earth_science/terc/content/investigations/es1504/...","Online Interactive Tool","","","Exploring Earth: How Does Land Cover Affect Global Temperature? ","Resource"
"Ice Cores: Unlocking Past Climates ","","High School, Climate System, College, General, Video/Visualization, Glaciers/Land Ice, Curriculum, Website, Publication, Paleoclimate, Temperature","","High School, College, General","","WOSU Public Media","A set of five video learning modules and companion curricuuar resources explain what we know and how we know about the earth’s climate.  The lessons begin by clarifying the difference between weather and climate; proceed to give us a closer look at glaciers and the records they hold of climatic events over extraordinarily long periods of time and show how scientists collect and study glacial ice cores to trace climate history.
","A set of five video learning modules and companion curricuuar resources explain what we know and how we know about the earth’s climate.  The lessons begin by clarifying the difference between weather and climate; proceed to give us a closer look at glaciers and the records they hold of climatic events over extraordinarily long periods of time and show how scientists collect and study glacial ice cores to trace climate history.
","A set of five video learning modules and companion curricuuar resources explain what we know and how we know about the earth’s climate.  The lessons begin by clarifying the difference between weather and climate; proceed to give us a closer look at glaciers and the records they hold of climatic events over extraordinarily long periods of time and show how scientists collect and study glacial ice cores to trace climate history.
","","Climate System","","","","","","","","","","view","","","Glaciers/Land Ice, Paleoclimate, Temperature","September 10, 2013 - 2:42pm","","","","","","http://wosu.org/2012/education/category/ice-cores-unlocking-past-climates/","Video/Visualization, Curriculum, Website, Publication","","","Ice Cores: Unlocking Past Climates ","Resource"
"Sea Level: Ice Volume Changes","","High School, Climate System, College, Antarctic, Causes of Climate Change, Arctic, Impacts of Climate Change, General, Video/Visualization, Glaciers/Land Ice, Curriculum, Paleoclimate, Sea Level Rise","","High School, College, General","","Texas A&M","A lesson plan focused on the links between sea level and ice volume, in which students identify the relationship between global climate change and Earth's ice volume and sea level, and interpret climatic history through examining the characteristics and relative ages of layers of ice in an ice core sample. Features visualizations, videos, and hands-on activities.
","A lesson plan focused on the links between sea level and ice volume, in which students identify the relationship between global climate change and Earth's ice volume and sea level, and interpret climatic history through examining the characteristics and relative ages of layers of ice in an ice core sample. Features visualizations, videos, and hands-on activities.
","A lesson plan focused on the links between sea level and ice volume, in which students identify the relationship between global climate change and Earth's ice volume and sea level, and interpret climatic history through examining the characteristics and relative ages of layers of ice in an ice core sample. Features visualizations, videos, and hands-on activities.
","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Antarctic, Glaciers/Land Ice, Sea Level Rise, Paleoclimate","September 10, 2013 - 2:42pm","","","","","","http://oceandrilling.coe.tamu.edu/curriculum/Sea_Level/Ice_Volume/activity.html","Video/Visualization, Curriculum","","","Sea Level: Ice Volume Changes","Resource"
"Interview with a Researcher: Let's Talk with Christina Hulbe about Studying Ice Flows for Clues to Climate Change ","","High School, Antarctic, Impacts of Climate Change, General, Family, Glaciers/Land Ice, Publication","","High School, General, Family","","AMNH","In this profile and interview, scientist Christina Hulbe discusses her research on the physics of Antarctic ice flow to understand how ice interacts with the global climate system.
","In this profile and interview, scientist Christina Hulbe discusses her research on the physics of Antarctic ice flow to understand how ice interacts with the global climate system.
","In this profile and interview, scientist Christina Hulbe discusses her research on the physics of Antarctic ice flow to understand how ice interacts with the global climate system.
","","Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Glaciers/Land Ice","September 10, 2013 - 2:42pm","","","","","","http://www.amnh.org/education/resources/rfl/web/antarctica/i_hulbe.html","Publication","","","Interview with a Researcher: Let's Talk with Christina Hulbe about Studying Ice Flows for Clues to Climate Change ","Resource"
"Interview with a Researcher: Let's talk with Martin Jeffries about Sea Ice & Climate in Antarctica ","","High School, Climate System, Antarctic, Arctic, Impacts of Climate Change, General, Family, Publication, Sea Ice","","High School, General, Family","","AMNH","In this profile and interview, scientist Martin Jeffries discusses his investigations into how sea ice forms and interacts with polar air and oceans in both the Arctic and Antarctica.
","In this profile and interview, scientist Martin Jeffries discusses his investigations into how sea ice forms and interacts with polar air and oceans in both the Arctic and Antarctica.
","In this profile and interview, scientist Martin Jeffries discusses his investigations into how sea ice forms and interacts with polar air and oceans in both the Arctic and Antarctica.
","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Antarctic, Sea Ice","September 10, 2013 - 2:42pm","","","","","","http://www.amnh.org/education/resources/rfl/web/antarctica/i_jeffries.html","Publication","","","Interview with a Researcher: Let's talk with Martin Jeffries about Sea Ice & Climate in Antarctica ","Resource"
